Year,Country,R&D Spending (millions euros),Notes
2004,Austria,251,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Belgium,"1,529","Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Cyprus,n.a.,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Czech Republic,n.a.,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Denmark,723,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Estonia,n.a.,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Finland,188,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,France,"3,950","Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Germany,"3,902","Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Greece,36,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Hungary,n.a.,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Ireland,123,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
