Macrotrends Data Download

European Union GDP Growth Rate 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Growth (%), Annual Change, 
1960-12-31,0
1961-12-31,0,0
1962-12-31,0,0
1963-12-31,0,0
1964-12-31,0,0
1965-12-31,0,0
1966-12-31,0,0
1967-12-31,0,0
1968-12-31,0,0
1969-12-31,0,0
1970-12-31,0,0
1971-12-31,3.6346,3.63
1972-12-31,4.7597,1.13
1973-12-31,6.009,1.25
1974-12-31,3.0957,-2.91
1975-12-31,-0.6621,-3.76
1976-12-31,4.8922,5.55
1977-12-31,2.8744,-2.02
1978-12-31,3.0501,0.18
1979-12-31,3.8722,0.82
1980-12-31,2.0752,-1.8
1981-12-31,0.512,-1.56
1982-12-31,0.8125,0.3
1983-12-31,1.4489,0.64
1984-12-31,2.4963,1.05
1985-12-31,2.3529,-0.14
1986-12-31,2.586,0.23
1987-12-31,2.5203,-0.07
1988-12-31,4.1624,1.64
1989-12-31,3.9181,-0.24
1990-12-31,3.3824,-0.54
1991-12-31,1.8589,-1.52
1992-12-31,1.16,-0.7
1993-12-31,-0.5738,-1.73
1994-12-31,2.6522,3.23
1995-12-31,2.6628,0.01
1996-12-31,1.8814,-0.78
1997-12-31,2.6532,0.77
1998-12-31,3.0108,0.36
1999-12-31,2.9487,-0.06
2000-12-31,3.9005,0.95
2001-12-31,2.1759,-1.72
2002-12-31,1.1108,-1.07
2003-12-31,0.9083,-0.2
2004-12-31,2.5925,1.68
2005-12-31,1.9247,-0.67
2006-12-31,3.4944,1.57
2007-12-31,3.1561,-0.34
2008-12-31,0.6412,-2.51
2009-12-31,-4.3487,-4.99
2010-12-31,2.2246,6.57
2011-12-31,1.9008,-0.32
2012-12-31,-0.702,-2.6
2013-12-31,-0.0829,0.62
2014-12-31,1.6003,1.68
2015-12-31,2.3092,0.71
2016-12-31,1.9718,-0.34
2017-12-31,2.8451,0.87
2018-12-31,2.0663,-0.78
2019-12-31,1.805,-0.26
2020-12-31,-5.6512,-7.46
2021-12-31,6.0109,11.66
2022-12-31,3.446,-2.56
